county,year,county_id,number_of_deaths
COCONINO,2009-2011,4005,6.0
COCONINO,2009-2011,4005,6.0
GRAHAM,2009-2011,4009,0.0
GRAHAM,2009-2011,4009,0.0
GREENLEE,2009-2011,4011,0.0
GREENLEE,2009-2011,4011,0.0
MARICOPA,2009-2011,4013,173.0
MARICOPA,2009-2011,4013,173.0
PIMA,2009-2011,4019,26.0
PIMA,2009-2011,4019,26.0
PINAL,2009-2011,4021,12.0
PINAL,2009-2011,4021,12.0
SANTA CRUZ,2009-2011,4023,0.0
SANTA CRUZ,2009-2011,4023,0.0
ARIZONA,2009-2011,ALL,17.733333
ARIZONA,2009-2011,ALL,17.733333
COCHISE,2010-2012,4003,0.0
COCHISE,2010-2012,4003,0.0
COCONINO,2010-2012,4005,6.0
COCONINO,2010-2012,4005,6.0
GREENLEE,2010-2012,4011,0.0
GREENLEE,2010-2012,4011,0.0
MARICOPA,2010-2012,4013,215.0
MARICOPA,2010-2012,4013,215.0
PIMA,2010-2012,4019,24.0
PIMA,2010-2012,4019,24.0
PINAL,2010-2012,4021,9.0
PINAL,2010-2012,4021,9.0
SANTA CRUZ,2010-2012,4023,0.0
SANTA CRUZ,2010-2012,4023,0.0
YUMA,2010-2012,4027,9.0
YUMA,2010-2012,4027,9.0
ARIZONA,2010-2012,ALL,20.4
ARIZONA,2010-2012,ALL,20.4
COCHISE,2011-2013,4003,0.0
COCHISE,2011-2013,4003,0.0
COCONINO,2011-2013,4005,7.0
COCONINO,2011-2013,4005,7.0
GREENLEE,2011-2013,4011,0.0
GREENLEE,2011-2013,4011,0.0
MARICOPA,2011-2013,4013,219.0
MARICOPA,2011-2013,4013,219.0
MOHAVE,2011-2013,4015,7.0
MOHAVE,2011-2013,4015,7.0
PIMA,2011-2013,4019,15.0
PIMA,2011-2013,4019,15.0
PINAL,2011-2013,4021,9.0
PINAL,2011-2013,4021,9.0
SANTA CRUZ,2011-2013,4023,0.0
SANTA CRUZ,2011-2013,4023,0.0
YUMA,2011-2013,4027,11.0
YUMA,2011-2013,4027,11.0
ARIZONA,2011-2013,ALL,20.4
ARIZONA,2011-2013,ALL,20.4
COCHISE,2012-2014,4003,0.0
COCHISE,2012-2014,4003,0.0
GILA,2012-2014,4007,0.0
GILA,2012-2014,4007,0.0
GREENLEE,2012-2014,4011,0.0
GREENLEE,2012-2014,4011,0.0
MARICOPA,2012-2014,4013,191.0
MARICOPA,2012-2014,4013,191.0
MOHAVE,2012-2014,4015,9.0
MOHAVE,2012-2014,4015,9.0
PIMA,2012-2014,4019,12.0
PIMA,2012-2014,4019,12.0
SANTA CRUZ,2012-2014,4023,0.0
SANTA CRUZ,2012-2014,4023,0.0
YAVAPAI,2012-2014,4025,6.0
YAVAPAI,2012-2014,4025,6.0
YUMA,2012-2014,4027,10.0
YUMA,2012-2014,4027,10.0
ARIZONA,2012-2014,ALL,17.733333
ARIZONA,2012-2014,ALL,17.733333
COCHISE,2013-2015,4003,0.0
COCHISE,2013-2015,4003,0.0
GILA,2013-2015,4007,0.0
GILA,2013-2015,4007,0.0
GREENLEE,2013-2015,4011,0.0
GREENLEE,2013-2015,4011,0.0
MARICOPA,2013-2015,4013,160.0
MARICOPA,2013-2015,4013,160.0
MOHAVE,2013-2015,4015,10.0
MOHAVE,2013-2015,4015,10.0
PIMA,2013-2015,4019,12.0
PIMA,2013-2015,4019,12.0
PINAL,2013-2015,4021,7.0
PINAL,2013-2015,4021,7.0
SANTA CRUZ,2013-2015,4023,0.0
SANTA CRUZ,2013-2015,4023,0.0
YAVAPAI,2013-2015,4025,9.0
YAVAPAI,2013-2015,4025,9.0
YUMA,2013-2015,4027,6.0
YUMA,2013-2015,4027,6.0
ARIZONA,2013-2015,ALL,16.4
ARIZONA,2013-2015,ALL,16.4
APACHE,2014-2016,4001,0.0
APACHE,2014-2016,4001,0.0
GREENLEE,2014-2016,4011,0.0
GREENLEE,2014-2016,4011,0.0
LA PAZ,2014-2016,4012,8.0
LA PAZ,2014-2016,4012,8.0
MARICOPA,2014-2016,4013,189.0
MARICOPA,2014-2016,4013,189.0
MOHAVE,2014-2016,4015,16.0
MOHAVE,2014-2016,4015,16.0
NAVAJO,2014-2016,4017,6.0
NAVAJO,2014-2016,4017,6.0
PIMA,2014-2016,4019,15.0
PIMA,2014-2016,4019,15.0
PINAL,2014-2016,4021,13.0
PINAL,2014-2016,4021,13.0
SANTA CRUZ,2014-2016,4023,0.0
SANTA CRUZ,2014-2016,4023,0.0
YAVAPAI,2014-2016,4025,7.0
YAVAPAI,2014-2016,4025,7.0
YUMA,2014-2016,4027,13.0
YUMA,2014-2016,4027,13.0
ARIZONA,2014-2016,ALL,21.2
ARIZONA,2014-2016,ALL,21.2
GREENLEE,2015-2017,4011,0.0
GREENLEE,2015-2017,4011,0.0
LA PAZ,2015-2017,4012,7.0
LA PAZ,2015-2017,4012,7.0
MARICOPA,2015-2017,4013,260.0
MARICOPA,2015-2017,4013,260.0
MOHAVE,2015-2017,4015,40.0
MOHAVE,2015-2017,4015,40.0
NAVAJO,2015-2017,4017,6.0
NAVAJO,2015-2017,4017,6.0
PIMA,2015-2017,4019,19.0
PIMA,2015-2017,4019,19.0
PINAL,2015-2017,4021,27.0
PINAL,2015-2017,4021,27.0
SANTA CRUZ,2015-2017,4023,0.0
SANTA CRUZ,2015-2017,4023,0.0
YAVAPAI,2015-2017,4025,8.0
YAVAPAI,2015-2017,4025,8.0
YUMA,2015-2017,4027,20.0
YUMA,2015-2017,4027,20.0
ARIZONA,2015-2017,ALL,31.133333
ARIZONA,2015-2017,ALL,31.133333
GREENLEE,2016-2018,4011,0.0
GREENLEE,2016-2018,4011,0.0
LA PAZ,2016-2018,4012,7.0
LA PAZ,2016-2018,4012,7.0
MARICOPA,2016-2018,4013,342.0
MARICOPA,2016-2018,4013,342.0
MOHAVE,2016-2018,4015,53.0
MOHAVE,2016-2018,4015,53.0
NAVAJO,2016-2018,4017,7.0
NAVAJO,2016-2018,4017,7.0
PIMA,2016-2018,4019,21.0
PIMA,2016-2018,4019,21.0
PINAL,2016-2018,4021,38.0
PINAL,2016-2018,4021,38.0
SANTA CRUZ,2016-2018,4023,0.0
SANTA CRUZ,2016-2018,4023,0.0
YUMA,2016-2018,4027,19.0
YUMA,2016-2018,4027,19.0
ARIZONA,2016-2018,ALL,37.933333
ARIZONA,2016-2018,ALL,37.933333
APACHE,2017-2019,4001,7.0
APACHE,2017-2019,4001,7.0
COCONINO,2017-2019,4005,6.0
COCONINO,2017-2019,4005,6.0
GREENLEE,2017-2019,4011,0.0
GREENLEE,2017-2019,4011,0.0
MARICOPA,2017-2019,4013,382.0
MARICOPA,2017-2019,4013,382.0
MOHAVE,2017-2019,4015,61.0
MOHAVE,2017-2019,4015,61.0
PIMA,2017-2019,4019,25.0
PIMA,2017-2019,4019,25.0
PINAL,2017-2019,4021,49.0
PINAL,2017-2019,4021,49.0
SANTA CRUZ,2017-2019,4023,0.0
SANTA CRUZ,2017-2019,4023,0.0
YUMA,2017-2019,4027,17.0
YUMA,2017-2019,4027,17.0
ARIZONA,2017-2019,ALL,40.933333
ARIZONA,2017-2019,ALL,40.933333
APACHE,2018-2020,4001,11.0
APACHE,2018-2020,4001,11.0
COCONINO,2018-2020,4005,6.0
COCONINO,2018-2020,4005,6.0
GILA,2018-2020,4007,8.0
GILA,2018-2020,4007,8.0
GREENLEE,2018-2020,4011,0.0
GREENLEE,2018-2020,4011,0.0
LA PAZ,2018-2020,4012,6.0
LA PAZ,2018-2020,4012,6.0
MARICOPA,2018-2020,4013,460.0
MARICOPA,2018-2020,4013,460.0
MOHAVE,2018-2020,4015,80.0
MOHAVE,2018-2020,4015,80.0
NAVAJO,2018-2020,4017,6.0
NAVAJO,2018-2020,4017,6.0
PIMA,2018-2020,4019,42.0
PIMA,2018-2020,4019,42.0
PINAL,2018-2020,4021,60.0
PINAL,2018-2020,4021,60.0
SANTA CRUZ,2018-2020,4023,0.0
SANTA CRUZ,2018-2020,4023,0.0
YAVAPAI,2018-2020,4025,6.0
YAVAPAI,2018-2020,4025,6.0
YUMA,2018-2020,4027,32.0
YUMA,2018-2020,4027,32.0
ARIZONA,2018-2020,ALL,51.4
ARIZONA,2018-2020,ALL,51.4
APACHE,2019-2021,4001,10.0
APACHE,2019-2021,4001,10.0
COCONINO,2019-2021,4005,6.0
COCONINO,2019-2021,4005,6.0
GILA,2019-2021,4007,9.0
GILA,2019-2021,4007,9.0
GREENLEE,2019-2021,4011,0.0
GREENLEE,2019-2021,4011,0.0
MARICOPA,2019-2021,4013,621.0
MARICOPA,2019-2021,4013,621.0
MOHAVE,2019-2021,4015,121.0
MOHAVE,2019-2021,4015,121.0
NAVAJO,2019-2021,4017,7.0
NAVAJO,2019-2021,4017,7.0
PIMA,2019-2021,4019,45.0
PIMA,2019-2021,4019,45.0
PINAL,2019-2021,4021,61.0
PINAL,2019-2021,4021,61.0
SANTA CRUZ,2019-2021,4023,0.0
SANTA CRUZ,2019-2021,4023,0.0
YAVAPAI,2019-2021,4025,9.0
YAVAPAI,2019-2021,4025,9.0
YUMA,2019-2021,4027,46.0
YUMA,2019-2021,4027,46.0
ARIZONA,2019-2021,ALL,1.0
ARIZONA,2019-2021,ALL,1.0
ARIZONA,2019-2021,ALL,65.933333
ARIZONA,2019-2021,ALL,65.933333
